ReportID,ArrestDate,Time,Age,Sex,RaceCat,Charge,ChargeDescription,Address,CrossStreet,geometry,Name,Descriptio
5943780,05/29/2020 12:00:00 AM,1500,26,M,Hispanic/Latinx/Mexican,484E(A)PC,ACQUIRE ACCESS CARD W/INTENT TO USE/SELL,HIGHLAND,8TH                          ST,"c(-118.3388, 34.0604)",Mid-Wilshire,NA
5768790,05/31/2020 12:00:00 AM,0200,35,M,White,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,300 S  SAN PEDRO                    ST,NA,"c(-118.2425, 34.0473)",Downtown,NA
5944459,05/30/2020 12:00:00 AM,0615,21,M,Hispanic/Latinx/Mexican,602(O)(2)PC,REFUSE TO LEAVE PROPERTY UPON REQST OWNER,1000 W  VIN SCULLY                   AV,NA,"c(-118.2447, 34.0726)",Elysian Park,NA
202010738,06/03/2020 12:00:00 AM,0050,16,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,OLYMPIC                      BL,ARDMORE                      AV,"c(-118.3021, 34.0526)",Harvard Heights,NA
5940811,05/27/2020 12:00:00 AM,1405,53,F,Hispanic/Latinx/Mexican,11378HS,POSSESSION CONTROLLED SUBSTANCE FOR SALE,MARENGO                      ST,FICKETT                      ST,"c(-118.2007, 34.0544)",Boyle Heights,NA
5940969,05/27/2020 12:00:00 AM,1850,52,M,Hispanic/Latinx/Mexican,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",6TH                          ST,ALVARADO,"c(-118.2761, 34.0601)",Westlake,NA
200710226,05/31/2020 12:00:00 AM,0015,15,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,1300 S  LA BREA                      AV,NA,"c(-118.3442, 34.0497)",Mid-Wilshire,NA
5945488,05/31/2020 12:00:00 AM,1630,26,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,WILSHIRE,CENTINELA,"c(-118.4709, 34.0414)",Brentwood,NA
5942958,05/29/2020 12:00:00 AM,1005,20,M,Black,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,1600 N  WESTERN                      AV,NA,"c(-118.3093, 34.1001)",East Hollywood,NA
5947152,06/02/2020 12:00:00 AM,1445,19,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,COSMO,HOLLYWOOD,"c(-118.3288, 34.1016)",Hollywood,NA
5942393,05/28/2020 12:00:00 AM,1645,26,M,Hispanic/Latinx/Mexican,1203.2PC,PROBATION VIOLATION,WABASH,MOTT,"c(-118.2006, 34.0514)",Boyle Heights,NA
5947868,06/03/2020 12:00:00 AM,1220,54,M,White,3000.08CPC,PAROLE WARRANT,3000 W  6TH                          ST,NA,"c(-118.287, 34.0637)",Westlake,NA
200910401,06/01/2020 12:00:00 AM,1920,25,F,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SHERMAN                      WY,VAN NUYS                     BL,"c(-118.4424, 34.15)",Sherman Oaks,NA
201510864,06/03/2020 12:00:00 AM,0120,37,F,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,3900    KENTUCKY                     DR,NA,"c(-118.3631, 34.1354)",Studio City,NA
200910435,06/01/2020 12:00:00 AM,2230,33,F,Black,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SHERMAN                      WY,VAN NUYS                     BL,"c(-118.4487, 34.2012)",Van Nuys,NA
5946761,06/01/2020 12:00:00 AM,2135,42,M,Hispanic/Latinx/Mexican,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,16TH                         ST,SAN PEDRO,"c(-118.2559, 34.0299)",Downtown,NA
5945899,06/01/2020 12:00:00 AM,0300,28,M,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,SANTA MONICA,101 FWY,"c(-118.3048, 34.0929)",East Hollywood,NA
5946021,06/01/2020 12:00:00 AM,1100,26,F,White,243(C)(2)PC,BATTERY ON PEACE OFFICER,6900    SUNSET RIDGE                 CT,NA,"c(-118.659, 34.1968)",West Hills,NA
5943835,05/29/2020 12:00:00 AM,2140,39,M,Black,243(A)PC,BATTERY ON PERSON,5600    VIRGINIA                     AV,NA,"c(-118.3109, 34.0918)",Hollywood,NA
5941346,05/28/2020 12:00:00 AM,0145,25,F,Black,211PC,ROBBERY,WESTERN,SANTA MONICA,"c(-118.3092, 34.0908)",East Hollywood,NA
5945363,05/31/2020 12:00:00 AM,1014,34,M,Hispanic/Latinx/Mexican,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,15800    SATICOY                      ST,NA,"c(-118.4771, 34.2085)",Van Nuys,NA
5943646,05/29/2020 12:00:00 AM,1300,47,F,Black,243(A)PC,BATTERY ON PERSON,OLYMPIC,NORMANDIE,"c(-118.301, 34.0526)",Harvard Heights,NA
